# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Sat Feb 15 11:02:28 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Attention: photometry includes extinction of Av=0.5, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.00415 -0.56713 10.07188 0.7158241272 2.3852594331    0.716 -0.365  3.7386  4.564    1  0.000  0.540     0.00     0.00     0.00     0.00     0.00 -1 -3.34e-14      0.00 7.904e-01 2.061e-01 6.164e-04 1.673e-04 1.521e-03 -1.000 3.458e-03 5.683 6.040 6.507 5.397
0.00415 -0.56713 10.07188 0.7260230184 2.3897911727    0.726 -0.323  3.7441  4.550    1  0.000  0.539     0.00     0.00     0.00     0.00     0.00 -1 -3.72e-14      0.00 7.920e-01 2.045e-01 6.107e-04 1.662e-04 1.511e-03 -1.000 3.425e-03 5.577 5.931 6.386 5.298
0.00415 -0.56713 10.07188 0.7356074452 2.3939184347    0.735 -0.283  3.7491  4.535    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.73e-14      0.00 7.936e-01 2.030e-01 6.054e-04 1.651e-04 1.502e-03 -1.000 3.404e-03 5.477 5.828 6.272 5.205
0.00415 -0.56713 10.07188 0.7479336262 2.3990479479    0.748 -0.230  3.7553  4.515    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.73e-14      0.00 7.956e-01 2.011e-01 5.986e-04 1.638e-04 1.490e-03 -1.000 3.356e-03 5.345 5.695 6.126 5.083
0.00415 -0.56713 10.07188 0.7565011978 2.4025003034    0.756 -0.193  3.7590  4.497    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.44e-14      0.00 7.975e-01 1.992e-01 5.939e-04 1.625e-04 1.479e-03 -1.000 3.353e-03 5.252 5.601 6.025 4.997
0.00415 -0.56713 10.07188 0.7690557837 2.4073998164    0.768 -0.137  3.7640  4.469    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -2.54e-14      0.00 8.003e-01 1.964e-01 5.868e-04 1.606e-04 1.462e-03 -1.000 3.303e-03 5.113 5.462 5.875 4.867
0.00415 -0.56713 10.07188 0.7805592418 2.4117303620    0.780 -0.084  3.7685  4.440    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.45e-14      0.00 8.029e-01 1.938e-01 5.802e-04 1.589e-04 1.446e-03 -1.000 3.339e-03 4.980 5.329 5.733 4.743
0.00415 -0.56713 10.07188 0.7910814285 2.4155649336    0.790 -0.033  3.7722  4.410    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -4.96e-14      0.00 8.054e-01 1.913e-01 5.739e-04 1.572e-04 1.432e-03 -1.000 3.280e-03 4.853 5.202 5.598 4.624
0.00415 -0.56713 10.07188 0.7958672643 2.4172704930    0.795 -0.009  3.7739  4.395    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -8.71e-14      0.00 8.066e-01 1.902e-01 5.710e-04 1.564e-04 1.425e-03 -1.000 3.261e-03 4.793 5.143 5.536 4.568
0.00415 -0.56713 10.07188 0.7971438766 2.4177214704    0.796 -0.003  3.7743  4.391    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -8.88e-14      0.00 8.070e-01 1.898e-01 5.700e-04 1.562e-04 1.422e-03 -1.000 3.253e-03 4.777 5.127 5.519 4.553
