name,columns,statistic_name,statistic,pval,is_normal
lynga 7,3p,Henze-Zirkler,34.641467788688,3.248089755867674e-156,False
lynga 7,5p_color,Henze-Zirkler,41.25890281997406,0.0,False
lynga 7,7p,Henze-Zirkler,9.8781006706133,0.0,False
ngc 6093,5p,Henze-Zirkler,76.36148042500739,0.0,False
ngc 6093,3p,Henze-Zirkler,217.66183199352793,0.0,False
ngc 6093,5p_color,Henze-Zirkler,160.20135604654465,0.0,False
ngc 6093,7p,Henze-Zirkler,56.49420861877546,0.0,False
ngc 6121,5p,MC - Henze-Zirkler,226.71611737149567,0.0,False
ngc 6121,3p,MC - Henze-Zirkler,652.90177899142,0.0,False
ngc 6121,5p_color,MC - Henze-Zirkler,381.00761156599964,0.0,False
ngc 6121,7p,MC - Henze-Zirkler,162.02582839793874,0.0,False
ngc 6101,5p,Henze-Zirkler,87.94804048833038,0.0,False
ngc 6101,3p,Henze-Zirkler,254.61270143157867,0.0,False
ngc 6101,5p_color,Henze-Zirkler,189.76388305830147,0.0,False
ngc 6101,7p,Henze-Zirkler,64.21586645878075,0.0,False
ngc 6144,5p,Henze-Zirkler,63.42568985436801,0.0,False
ngc 6144,3p,Henze-Zirkler,148.61329654733927,0.0,False
ngc 6144,5p_color,Henze-Zirkler,100.29746930821065,0.0,False
ngc 6144,7p,Henze-Zirkler,42.233064927024955,0.0,False
ngc 6139,5p,Henze-Zirkler,11.732548234477186,0.0,False
ngc 6139,3p,Henze-Zirkler,66.40228875044079,7.119438390180728e-159,False
ngc 6139,5p_color,Henze-Zirkler,31.60011360468224,0.0,False
ngc 6139,7p,Henze-Zirkler,7.740038194067586,0.0,False
terzan 3,5p,Henze-Zirkler,23.91989142384716,0.0,False
terzan 3,3p,Henze-Zirkler,104.85953146992063,0.0,False
terzan 3,5p_color,Henze-Zirkler,121.98736139170363,0.0,False
terzan 3,7p,Henze-Zirkler,30.807927206684862,0.0,False
ngc 6171,5p,Henze-Zirkler,180.20701997700257,0.0,False
ngc 6171,3p,Henze-Zirkler,648.7793185908591,0.0,False
ngc 6171,5p_color,Henze-Zirkler,387.0518985272236,0.0,False
ngc 6171,7p,Henze-Zirkler,129.43104155076267,0.0,False
ngc 6205,5p,MC - Henze-Zirkler,518.7584186834238,0.0,False
ngc 6205,3p,MC - Henze-Zirkler,1401.5018867914714,0.0,False
ngc 6205,5p_color,MC - Henze-Zirkler,1054.342538924215,0.0,False
ngc 6205,7p,MC - Henze-Zirkler,454.24929469212606,0.0,False
ngc 6229,5p,Henze-Zirkler,7.066512076285052,9.432961236418766e-220,False
ngc 6229,3p,Henze-Zirkler,42.28521646379804,4.1414818222831774e-123,False
ngc 6229,5p_color,Henze-Zirkler,21.461057368541574,0.0,False
ngc 6229,7p,Henze-Zirkler,5.128083201830192,0.0,False
ngc 6218,5p,MC - Henze-Zirkler,308.2459431180562,0.0,False
ngc 6218,3p,MC - Henze-Zirkler,1339.5996304581092,0.0,False
ngc 6218,5p_color,MC - Henze-Zirkler,967.5306898491184,0.0,False
ngc 6218,7p,MC - Henze-Zirkler,268.41513147965134,0.0,False
ngc 6235,5p,Henze-Zirkler,18.05992755705271,0.0,False
ngc 6235,3p,Henze-Zirkler,53.97850406527464,3.9301352585740314e-234,False
ngc 6235,5p_color,Henze-Zirkler,75.26675494262889,0.0,False
ngc 6235,7p,Henze-Zirkler,19.598417959742996,0.0,False
ngc 6254,5p,MC - Henze-Zirkler,243.29156383259576,0.0,False
ngc 6254,3p,MC - Henze-Zirkler,1123.8445863497527,0.0,False
